FINAL_FOLDER_NAME,TESTSET_NAME,TESTSET_ID,TEST_INSTANCE_UNIQUE_ID,TEST_NAME,RESPONSIBLE_TESTER,TESTINSTANCE_STATUS,RUN_ID,EXECUTION_DATE,RUN_STATUS,DEFECT_ID,AR_NUMBER,DEFECT_BY,DEFECT_STATUS,LINKED_AR_STATUS,LINKED_AR_STATUS_DETAILS,LASTRUN_FLAG,TAGS
I164_I39_I167,stage_2_Massive object modifications expand_shrink_during IO running,5995,33125,Massive object modifications expand_shrink_during IO running,yanb,Failed,365434,2018/10/29 0:00,Failed,10561,MDT-48413,yanh3,Open,,,0,C234_C235_C900
I54,Stage_1_Block Asynchronous Replication,5765,31385,Block Asynchronous Replication,tiand3,Failed,365839,2018/10/29 0:00,Failed,10571,MDT-48428,tiand3,Open,,,0,C619
I54,Stage_1_Reprotection after Planed Failover,6206,33324,Reprotection after Planed Failover,liw27,Running,365860,2018/10/30 0:00,Failed,10575,MDT-48436,liw27,Open,,,0,C1072
I164_I39_I167,stage_1_Dedupe_Compress IO VMs in different stroage containers  when pull_insert drive,5988,33104,Dedupe_Compress IO VMs in different stroage containers  when pull_insert drive,chene10,Failed,365869,2018/10/30 0:00,Failed,10577,MDT-48439,chene10,Open,,,0,C235_C234
I164_I39_I167,stage_1_VM Deploy_Delete With Dedupe_compress IO,5999,33137,VM Deploy_Delete With Dedupe_Compress IO,chene10,Failed,365875,2018/10/30 0:00,Failed,10578,MDT-48442,chene10,Open,,,0,C234_C235_C900
I164_I39_I167,stage_1_trim IO on VMs with multiple type VMD,5971,33049,Trim IO on VMs with multiple type VMDK,chene10,Failed,365881,2018/10/30 0:00,Failed,10579,MDT-48443,chene10,Open,,,0,C234_C1330
I53,Stage_1_DM lifecycle,6602,35398,DM lifecycle,jguo,Passed,365882,2018/10/30 0:00,Failed,10584,MDT-48451,xiaos3,Open,,,0,C538_C623
I54,Stage_1_Block Asynchronous Replication,5765,31385,Block Asynchronous Replication,tiand3,Failed,365958,2018/10/30 0:00,Failed,10587,MDT-48457,tiand3,Open,,,0,C619
I180,Stage_1_Storage vMotion between Virtual Datastores (same Appliance),5989,33113,Storage vMotion between Virtual Datastores (same Appliance),lwang3,Failed,366091,2018/10/30 0:00,Failed,10589,MDT-48464,chenn8,Open,,,0,C313
I41,Stage_2_Deploy Vmware VMs on HCI based Cluster,6023,33064,Deploy Vmware VMs on HCI based Cluster,chenn8,Passed,366048,2018/10/30 0:00,Failed,10590,MDT-48465,longp3,Open,,,0,C129_C133_C265_C841
